"prompt","model","W","V","coef","t","lci","uci"
1,"gpt-3.5-turbo-0125","Senate","Health",0.31481481481,14.08429602765,0.27100533384,0.35862429579
1,"gpt-3.5-turbo-0125","Senate","Banking, Finance & Domestic Commerce",0.29161290323,17.85618065584,0.25960433439,0.32362147207
1,"gpt-3.5-turbo-0125","Senate","Defense",0.31365935919,16.45721287242,0.27630424614,0.35101447225
1,"gpt-3.5-turbo-0125","Senate","Government Operations",0.30122116689,17.81871120834,0.26808843178,0.334353902
1,"gpt-3.5-turbo-0125","Senate","Public Lands & Water Management",0.39523809524,23.42321481193,0.36216610071,0.42831008976
2,"gpt-3.5-turbo-0125","Senate","Health",0.33900928793,18.19675934296,0.30249476453,0.37552381132
2,"gpt-3.5-turbo-0125","Senate","Banking, Finance & Domestic Commerce",0.29455709712,19.77394306166,0.26536103339,0.32375316084
2,"gpt-3.5-turbo-0125","Senate","Defense",0.29737206086,17.48743829243,0.2640430781,0.33070104361
2,"gpt-3.5-turbo-0125","Senate","Government Operations",0.29176470588,18.70711130263,0.26119620676,0.32233320501
2,"gpt-3.5-turbo-0125","Senate","Public Lands & Water Management",0.39679144385,24.79264607994,0.36542339476,0.42815949294
3,"gpt-3.5-turbo-0125","Senate","Health",0.35451505017,18.11734450798,0.31616303175,0.39286706859
3,"gpt-3.5-turbo-0125","Senate","Banking, Finance & Domestic Commerce",0.29893617021,20.01446805975,0.26966214077,0.32821019966
3,"gpt-3.5-turbo-0125","Senate","Defense",0.29294274301,17.63411712077,0.26038328897,0.32550219704
3,"gpt-3.5-turbo-0125","Senate","Government Operations",0.29358717435,20.35983222492,0.26532464833,0.32184970037
3,"gpt-3.5-turbo-0125","Senate","Public Lands & Water Management",0.39894736842,25.10342773533,0.3677993323,0.43009540454
4,"gpt-3.5-turbo-0125","Senate","Health",0.36393989983,18.50754622287,0.32539837263,0.40248142704
4,"gpt-3.5-turbo-0125","Senate","Banking, Finance & Domestic Commerce",0.30537634409,20.21408361689,0.27576695652,0.33498573165
4,"gpt-3.5-turbo-0125","Senate","Defense",0.3085399449,17.993271518,0.27493142745,0.34214846235
4,"gpt-3.5-turbo-0125","Senate","Government Operations",0.28383233533,18.18597087838,0.25324275842,0.31442191224
4,"gpt-3.5-turbo-0125","Senate","Public Lands & Water Management",0.39285714286,22.51643269207,0.3586605247,0.42705376102
5,"gpt-3.5-turbo-0125","Senate","Health",0.36654135338,17.53992952085,0.32558293045,0.40749977631
5,"gpt-3.5-turbo-0125","Senate","Banking, Finance & Domestic Commerce",0.30708661417,19.84319135577,0.27675486495,0.33741836339
5,"gpt-3.5-turbo-0125","Senate","Defense",0.30115830116,18.29313737821,0.2688915876,0.33342501472
5,"gpt-3.5-turbo-0125","Senate","Government Operations",0.29042224511,19.92940031228,0.26186056579,0.31898392443
5,"gpt-3.5-turbo-0125","Senate","Public Lands & Water Management",0.38461538462,23.32484458683,0.35229652826,0.41693424097
6,"gpt-3.5-turbo-0125","Senate","Health",0.36156351792,18.64177714442,0.3235493593,0.39957767653
6,"gpt-3.5-turbo-0125","Senate","Banking, Finance & Domestic Commerce",0.30936819172,20.27241808507,0.27945806895,0.33927831449
6,"gpt-3.5-turbo-0125","Senate","Defense",0.28732394366,16.9137019086,0.2540287736,0.32061911373
6,"gpt-3.5-turbo-0125","Senate","Government Operations",0.29958677686,20.34189944809,0.2707212673,0.32845228641
6,"gpt-3.5-turbo-0125","Senate","Public Lands & Water Management",0.39204545455,23.81462049945,0.35977977258,0.42431113651
7,"gpt-3.5-turbo-0125","Senate","Health",0.34334763948,19.11206168787,0.30813694278,0.37855833619
7,"gpt-3.5-turbo-0125","Senate","Banking, Finance & Domestic Commerce",0.29274004684,18.79533812144,0.26221333086,0.32326676282
7,"gpt-3.5-turbo-0125","Senate","Defense",0.29835082459,16.835894715,0.26361807763,0.33308357155
7,"gpt-3.5-turbo-0125","Senate","Government Operations",0.29667812142,19.18414688046,0.26636775961,0.32698848323
7,"gpt-3.5-turbo-0125","Senate","Public Lands & Water Management",0.39520333681,25.02560493602,0.36425166516,0.42615500845
8,"gpt-3.5-turbo-0125","Senate","Health",0.33827893175,18.55665164245,0.3025497207,0.3740081428
8,"gpt-3.5-turbo-0125","Senate","Banking, Finance & Domestic Commerce",0.29975429975,18.66119110168,0.26827144164,0.33123715787
8,"gpt-3.5-turbo-0125","Senate","Defense",0.30240549828,15.87904874867,0.2650793401,0.33973165646
8,"gpt-3.5-turbo-0125","Senate","Government Operations",0.29283489097,19.96336808252,0.26408494069,0.32158484124
8,"gpt-3.5-turbo-0125","Senate","Public Lands & Water Management",0.39591836735,25.33598071753,0.36529055193,0.42654618276
9,"gpt-3.5-turbo-0125","Senate","Health",0.34268833087,18.78140136687,0.3069265273,0.37845013444
9,"gpt-3.5-turbo-0125","Senate","Banking, Finance & Domestic Commerce",0.29425837321,18.66441399644,0.26335808275,0.32515866366
9,"gpt-3.5-turbo-0125","Senate","Defense",0.30092592593,16.69649763012,0.26560091406,0.33625093779
9,"gpt-3.5-turbo-0125","Senate","Government Operations",0.30144605117,19.69039108183,0.27144037982,0.33145172252
9,"gpt-3.5-turbo-0125","Senate","Public Lands & Water Management",0.39151398264,25.82304118615,0.36179814476,0.42122982052
10,"gpt-3.5-turbo-0125","Senate","Health",0.33526011561,18.67616905135,0.30007636083,0.37044387038
10,"gpt-3.5-turbo-0125","Senate","Banking, Finance & Domestic Commerce",0.30623020063,20.43906271401,0.27686485387,0.3355955474
10,"gpt-3.5-turbo-0125","Senate","Defense",0.28664259928,23.58366734383,0.26282063966,0.31046455889
10,"gpt-3.5-turbo-0125","Senate","Government Operations",0.29042386185,16.14195140411,0.2551604482,0.3256872755
10,"gpt-3.5-turbo-0125","Senate","Public Lands & Water Management",0.40562248996,22.57146784794,0.37040078985,0.44084419007
11,"gpt-3.5-turbo-0125","Senate","Health",0.33980582524,19.25825224188,0.30522287499,0.37438877549
11,"gpt-3.5-turbo-0125","Senate","Banking, Finance & Domestic Commerce",0.2961409396,22.38794196994,0.27021512754,0.32206675166
11,"gpt-3.5-turbo-0125","Senate","Defense",0.28833455613,23.49243362728,0.26427892381,0.31239018844
11,"gpt-3.5-turbo-0125","Senate","Government Operations",0.27943078913,17.30847071085,0.2477888092,0.31107276906
11,"gpt-3.5-turbo-0125","Senate","Public Lands & Water Management",0.40487238979,24.20902708893,0.37209390186,0.43765087773
12,"gpt-3.5-turbo-0125","Senate","Health",0.33767772512,20.73754884314,0.30576285492,0.36959259532
12,"gpt-3.5-turbo-0125","Senate","Banking, Finance & Domestic Commerce",0.29666366096,21.62151360365,0.2697714599,0.32355586201
12,"gpt-3.5-turbo-0125","Senate","Defense",0.27648384673,22.54599809993,0.25244861088,0.30051908259
12,"gpt-3.5-turbo-0125","Senate","Government Operations",0.29179331307,20.15978540658,0.26342473806,0.32016188808
12,"gpt-3.5-turbo-0125","Senate","Public Lands & Water Management",0.39053905391,24.12742133525,0.35881405232,0.42226405549
1,"gpt-4o-2024-05-13","Senate","Health",0.32378580324,19.60262375794,0.29141215158,0.35615945489
1,"gpt-4o-2024-05-13","Senate","Banking, Finance & Domestic Commerce",0.30057803468,19.27465942287,0.27001344158,0.33114262779
1,"gpt-4o-2024-05-13","Senate","Defense",0.30107526882,16.74104270257,0.26582676644,0.3363237712
1,"gpt-4o-2024-05-13","Senate","Government Operations",0.27675585284,21.38657334726,0.25139267309,0.30211903259
1,"gpt-4o-2024-05-13","Senate","Public Lands & Water Management",0.39008894536,22.42877776615,0.3560005839,0.42417730683
2,"gpt-4o-2024-05-13","Senate","Health",0.3234152652,19.21668978643,0.29042923697,0.35640129343
2,"gpt-4o-2024-05-13","Senate","Banking, Finance & Domestic Commerce",0.31124260355,19.5350446836,0.28001542679,0.34246978031
2,"gpt-4o-2024-05-13","Senate","Defense",0.28970331588,15.28283143299,0.25254998681,0.32685664495
2,"gpt-4o-2024-05-13","Senate","Government Operations",0.28550295858,23.23609307806,0.26142078976,0.3095851274
2,"gpt-4o-2024-05-13","Senate","Public Lands & Water Management",0.39065606362,25.3883630971,0.36049768704,0.4208144402
3,"gpt-4o-2024-05-13","Senate","Health",0.32036316472,19.05810409457,0.28741653678,0.35330979266
3,"gpt-4o-2024-05-13","Senate","Banking, Finance & Domestic Commerce",0.30845771144,18.93154863747,0.27652339816,0.34039202473
3,"gpt-4o-2024-05-13","Senate","Defense",0.29188255613,15.44402081792,0.25484043449,0.32892467777
3,"gpt-4o-2024-05-13","Senate","Government Operations",0.2832326284,22.86631557065,0.25895561931,0.30750963749
3,"gpt-4o-2024-05-13","Senate","Public Lands & Water Management",0.39014778325,25.474458557,0.36013043854,0.42016512796
4,"gpt-4o-2024-05-13","Senate","Health",0.32519280206,19.35709047401,0.29226604682,0.35811955729
4,"gpt-4o-2024-05-13","Senate","Banking, Finance & Domestic Commerce",0.30355097365,19.50059854851,0.27304170624,0.33406024107
4,"gpt-4o-2024-05-13","Senate","Defense",0.29516994633,15.29570284036,0.25734739773,0.33299249494
